setID, name, level, locked, displayable
0, Colours, 1, 0, 1
1, Days of the Week, 1, 0, 1
2, Numbers 1-10, 1, 0, 1
3, Alphabet, 2, 0, 1
4, Food, 2, 0, 1
5, Months, 2, 0, 1
6, Numbers 11-50, 2, 0, 1
7, Verbs, 2, 0, 1
8, Clothing, 3, 0, 1
9, Male/Female, 3, 0, 1
